iter	RMSE
0	1.096192063
1	1.041987412
2	0.9944130673
3	0.9529864113
4	0.9154082396
5	0.8820506589
6	0.8536680882
7	0.8291325984
8	0.806355138
9	0.7865373486
10	0.765734143
11	0.7505676068
12	0.7349355557
13	0.7220342328
14	0.7118048671
15	0.7022350922
16	0.6924001733
17	0.6799817202
18	0.6706390448
19	0.6632410858
20	0.6540299997
21	0.6452287427
22	0.6400842286
23	0.6356676581
24	0.6311365554
25	0.6274389683
26	0.6196359649
27	0.6166324946
28	0.6129551863
29	0.610148526
30	0.6044667036
31	0.5994225595
32	0.5974584926
33	0.5930390286
34	0.5902499479
35	0.5859775229
36	0.5828607414
37	0.5800944503
38	0.5776767283
39	0.5742948168
40	0.5726925708
41	0.5715951475
42	0.5683853328
43	0.5664452005
44	0.5647954604
45	0.5627196606
46	0.5604830059
47	0.5585267209
48	0.5572534632
49	0.5559437743
50	0.5538605864
51	0.5525232586
52	0.5500256778
53	0.5481597016
54	0.5466884495
55	0.5452249446
56	0.544214609
57	0.5427198764
58	0.541675105
59	0.5401756976
60	0.5390036473
61	0.5379163518
62	0.5370884016
63	0.536024858
64	0.5354627915
65	0.5340836388
66	0.5333232363
67	0.5328221993
68	0.5321305674
69	0.5312200418
70	0.5307203089
71	0.52973918
72	0.5287642477
73	0.5276056563
74	0.5270564819
75	0.5255544765
76	0.5250051275
77	0.5241912103
78	0.5235202594
79	0.5227934315
80	0.5218598685
81	0.521125427
82	0.5202849294
83	0.5193321772
84	0.5187507803
85	0.5182037926
86	0.5167988788
87	0.5160970414
88	0.5153870031
89	0.514226248
90	0.5129380449
91	0.5121491095
92	0.5111502746
93	0.5103247669
94	0.5095574307
95	0.5090224567
96	0.5085008922
97	0.507921205
98	0.5070931552
99	0.5065843195
100	0.5058563315
101	0.5050599497
102	0.5043541481
103	0.5037328312
104	0.5032369563
105	0.5025874478
106	0.5022731328
107	0.5014391568
108	0.500141335
109	0.4996792359
110	0.4992210664
111	0.4987925904
112	0.4980913925
113	0.4971442706
114	0.4964030182
115	0.4957357349
116	0.4952092139
117	0.4948208431
118	0.4935184467
119	0.4929712368
120	0.4922709111
121	0.4917462984
122	0.4910218119
123	0.4904785416
124	0.490145971
125	0.4895143681
126	0.4890496218
127	0.4884250363
128	0.4877111132
129	0.4871630051
130	0.4866752533
131	0.4861658487
132	0.4855514297
133	0.4851066342
134	0.4846406567
135	0.4840806151
136	0.4835928756
137	0.4831755414
138	0.4827115762
139	0.4821909534
140	0.4817743379
141	0.4814251568
142	0.480931068
143	0.4798860155
144	0.4795886926
145	0.4791010569
146	0.4787252547
147	0.4777163174
148	0.4771364918
149	0.4761826191
150	0.4757873005
151	0.4753326756
152	0.4749643605
153	0.4747450104
154	0.4743593701
155	0.474091087
156	0.4733721949
157	0.4727528348
158	0.4719746674
159	0.4715404399
160	0.4705548019
161	0.4701309587
162	0.469765222
163	0.469229914
164	0.4689438254
165	0.4685840295
166	0.4679529219
167	0.4674106143
168	0.4671848672
169	0.4667622692
170	0.4662510991
171	0.4659386046
172	0.4655908609
173	0.4652428391
174	0.4649179643
175	0.4644676381
176	0.4641716524
177	0.4638252731
178	0.4634581756
179	0.4630049561
180	0.4626222925
181	0.4623930179
182	0.4619417017
183	0.461451285
184	0.4610345249
185	0.460271315
186	0.4598011136
187	0.4593916151
188	0.4588933226
189	0.4586029931
190	0.458417358
191	0.4579246909
192	0.4576497895
193	0.4572978629
194	0.4570454742
195	0.4563098238
196	0.4559922063
197	0.4556696834
198	0.4553892754
199	0.4549937773
