iter	Passed	Remaining
0	1	293
1	2	233
2	3	209
3	4	197
4	4	191
5	5	190
6	6	190
7	7	186
8	8	182
9	9	178
10	10	179
11	11	177
12	12	174
13	12	172
14	13	171
15	14	169
16	15	168
17	16	166
18	17	164
19	18	162
20	18	160
21	19	159
22	20	158
23	21	157
24	22	156
25	23	155
26	23	153
27	24	152
28	25	150
29	26	149
30	27	148
31	28	147
32	28	146
33	29	145
34	30	144
35	31	144
36	32	142
37	33	141
38	34	140
39	34	139
40	35	138
41	36	137
42	37	136
43	38	135
44	39	134
45	39	133
46	40	132
47	41	131
48	42	130
49	43	130
50	44	129
51	45	128
52	46	128
53	47	127
54	48	126
55	49	126
56	49	125
57	50	124
58	51	123
59	52	122
60	53	121
61	54	120
62	55	119
63	56	119
64	56	118
65	57	117
66	58	116
67	59	115
68	60	114
69	61	113
70	61	112
71	62	111
72	63	111
73	64	110
74	65	109
75	66	108
76	67	107
77	67	106
78	68	105
79	69	104
80	70	103
81	71	102
82	72	102
83	73	101
84	74	100
85	74	99
86	75	98
87	76	97
88	77	96
89	78	95
90	79	94
91	80	94
92	80	93
93	81	92
94	82	91
95	83	90
96	84	89
97	85	88
98	86	87
99	86	86
100	87	86
101	88	85
102	89	84
103	90	83
104	91	82
105	92	82
106	93	81
107	94	80
108	95	79
109	96	78
110	97	77
111	97	76
112	98	76
113	99	75
114	100	74
115	101	73
116	102	72
117	103	71
118	104	70
119	105	70
120	105	69
121	106	68
122	107	67
123	108	66
124	109	65
125	110	64
126	111	63
127	112	63
128	112	62
129	113	61
130	114	60
131	115	59
132	116	58
133	117	57
134	118	56
135	119	56
136	120	55
137	120	54
138	121	53
139	122	52
140	123	51
141	124	50
142	125	49
143	125	48
144	126	48
145	127	47
146	128	46
147	129	45
148	130	44
149	131	43
150	131	42
151	132	41
152	133	41
153	134	40
154	135	39
155	136	38
156	137	37
157	138	36
158	139	35
159	139	34
160	140	34
161	141	33
162	142	32
163	143	31
164	144	30
165	145	29
166	146	28
167	147	28
168	148	27
169	149	26
170	150	25
171	151	24
172	152	23
173	153	22
174	154	22
175	155	21
176	156	20
177	157	19
178	158	18
179	159	17
180	159	16
181	160	15
182	161	15
183	162	14
184	163	13
185	164	12
186	165	11
187	165	10
188	166	9
189	167	8
190	168	7
191	169	7
192	170	6
193	171	5
194	172	4
195	172	3
196	173	2
197	174	1
198	175	0
199	176	0
